iter	Passed	Remaining
0	16	20056
1	44	26237
2	69	27502
3	107	31702
4	137	32451
5	168	33048
6	196	33006
7	224	32922
8	251	32763
9	281	33059
10	310	33116
11	339	33107
12	367	33053
13	412	34475
14	439	34190
15	465	33957
16	495	33985
17	525	33997
18	557	34141
19	586	34109
20	617	34168
21	652	34414
22	684	34521
23	716	34577
24	746	34589
25	775	34508
26	804	34428
27	830	34243
28	861	34296
29	894	34375
30	926	34443
31	959	34510
32	988	34462
33	1020	34478
34	1054	34576
35	1082	34488
36	1113	34478
37	1162	35016
38	1189	34885
39	1225	35026
40	1256	34988
41	1283	34881
42	1311	34782
43	1342	34764
44	1361	34433
45	1384	34232
46	1411	34107
47	1441	34083
48	1473	34095
49	1511	34255
50	1556	34544
51	1594	34689
52	1660	35396
53	1715	35875
54	1758	36062
55	1803	36293
56	1843	36418
57	1882	36506
58	1916	36517
59	1943	36382
60	1966	36178
61	1996	36106
62	2022	35951
63	2048	35813
64	2075	35691
65	2101	35569
66	2127	35441
67	2153	35308
68	2179	35191
69	2206	35076
70	2233	34978
71	2261	34895
72	2286	34760
73	2313	34670
74	2339	34566
75	2367	34481
76	2393	34382
77	2418	34264
78	2441	34123
79	2467	34024
80	2493	33922
81	2531	33986
82	2555	33867
83	2584	33807
84	2608	33699
85	2633	33593
86	2659	33508
87	2685	33418
88	2713	33349
89	2737	33244
90	2764	33174
91	2786	33040
92	2811	32953
93	2842	32926
94	2878	32967
95	2916	33024
96	2936	32881
97	2965	32830
98	2991	32750
99	3015	32661
100	3042	32596
101	3062	32460
102	3088	32388
103	3115	32318
104	3140	32242
105	3166	32170
106	3190	32083
107	3215	32006
108	3239	31917
109	3260	31802
110	3287	31747
111	3312	31679
112	3341	31637
113	3364	31552
114	3390	31483
115	3414	31411
116	3436	31313
117	3455	31189
118	3480	31119
119	3506	31057
120	3530	30987
121	3555	30919
122	3581	30861
123	3602	30764
124	3630	30726
125	3656	30676
126	3681	30608
127	3707	30561
128	3739	30556
129	3765	30503
130	3789	30432
131	3815	30381
132	3841	30328
133	3867	30277
134	3891	30212
135	3918	30163
136	3938	30068
