id_cliente,idade,genero,pais,nivel_educacao,score_credito,tipo_conta,saldo_conta,saldo_normalizado,salario_anual,num_produtos,num_transacoes,tempo_cliente,cartao_credito,membro_ativo,ruido_1,ruido_2,ruido_3,churn
1,47,Masculino,Brasil,Graduação,734.0,Corrente,2344526.5433652084,0.49386542939057076,33031.77,1,21.0,2.6,1,0,1.1267236367786344,75,B,0
2,40,Masculino,Brasil,Pós-Graduação,656.0,Corrente,74977.63,0.0394700426871665,22324.79,1,24.0,0.3,1,0,-1.4867184699052318,78,A,0
3,49,Feminino,Argentina,Doutorado,634.0,Premium,576290.13,4.114144181872031,17236.21,1,25.0,2.1,0,1,-0.18115087673127475,42,B,0
4,60,Feminino,Brasil,Graduação,582.0,Poupança,6152.83,-0.5199387745567092,93438.81,3,25.0,0.6,1,1,-1.064517973083039,55,A,0
5,39,Masculino,Chile,Graduação,530.0,Poupança,164568.12,0.7676626425523208,39943.34,2,22.0,8.3,1,0,0.43052961167703435,92,C,0
6,39,Masculino,Brasil,Pós-Graduação,767.0,Corrente,143735.35,0.5983336328695655,42098.78,1,35.0,14.8,1,0,-0.35835093235555227,59,A,0
7,60,Masculino,Brasil,Ensino Médio,699.0,Corrente,11293.08,-0.4781587596080594,44554.97,1,26.0,0.4,1,1,-0.13013906688012547,51,C,0
8,51,Masculino,Brasil,Graduação,503.0,Poupança,121608.24,0.41848421181603346,90018.07,2,22.0,15.5,1,0,-0.4110558072784743,88,C,0
9,36,Masculino,Argentina,Pós-Graduação,718.0,Premium,54359.46,-0.12811469556754929,44014.84,3,18.0,3.7,1,1,0.7201634327682686,53,B,0
10,48,Masculino,Argentina,Graduação,733.0,Poupança,27640.25,-0.3452887616569638,200071.94,1,19.0,1.8,1,1,0.2290329605981383,81,B,0
11,36,Masculino,Brasil,Ensino Médio,661.0,Premium,13511.24,-0.4601295279639766,53117.21,1,20.0,0.4,0,0,0.23092676403965554,9,A,1
12,36,Masculino,Colombia,Graduação,793.0,Poupança,15322.36,-0.44540872242459645,92695.1,3,35.0,3.5,1,0,0.1606218250814536,94,C,0
13,44,Masculino,Brasil,Pós-Graduação,669.0,Corrente,424970.28,2.8842145879753445,79470.72,1,26.0,7.9,1,1,0.572490880452137,3,B,0
14,19,Feminino,Argentina,Ensino Médio,522.0,Corrente,36345.27,-0.2745342524933443,47960.43,1,22.0,6.1,1,0,-0.2619718548563233,8,C,0
15,21,Feminino,Brasil,Graduação,682.0,Poupança,92832.86,0.18459757078630176,34469.06,4,32.0,0.3,0,0,1.7007747875409267,82,C,0
16,35,Feminino,Brasil,Ensino Médio,672.0,Corrente,14057.63,-0.4556884633527626,59824.97,2,27.0,0.4,1,1,-1.2347947512185196,59,C,0
17,29,Masculino,Chile,Graduação,595.0,Corrente,14245.22,-0.4541637295354935,66573.32,1,24.0,2.6,0,1,-1.7259184481696488,30,A,0
