Valor_Casa,Bairro,Num_Comodos,Comprar
349671.4153011233,Bom,4,Sim
286173.56988288154,Ruim,4,Nao
364768.85381006927,Bom,4,Sim
452302.98564080254,Ruim,4,Nao
276584.6625276664,Ruim,3,Nao
276586.30430508195,Bom,2,Sim
457921.28155073914,Bom,4,Sim
376743.47291529085,Ruim,1,Nao
253052.5614065048,Ruim,1,Nao
354256.00435859646,Ruim,1,Nao
253658.23071875377,Ruim,1,Nao
253427.0246429743,Bom,3,Sim
324196.2271566034,Bom,1,Nao
108671.9755342202,Bom,4,Sim
127508.21674869672,Ruim,5,Sim
243771.24707590273,Ruim,1,Nao
198716.88796655764,Bom,3,Sim
331424.73325952736,Bom,3,Sim
209197.5924478789,Bom,1,Nao
158769.62986647084,Bom,5,Sim
446564.8768921554,Ruim,1,Nao
277422.3699513464,Ruim,3,Nao
306752.8204687924,Ruim,2,Nao
157525.18137865432,Bom,4,Sim
245561.72754748174,Bom,3,Sim
311092.2589709866,Ruim,1,Nao
184900.6422577697,Ruim,4,Sim
337569.8018345672,Bom,1,Nao
239936.1310081195,Ruim,1,Nao
270830.62502067233,Bom,2,Sim
239829.3387770603,Bom,4,Sim
485227.81845089374,Bom,4,Sim
298650.2775262066,Bom,2,Sim
194228.90710440997,Bom,3,Sim
382254.49121031887,Bom,1,Nao
177915.63500289776,Ruim,5,Sim
320886.3595004755,Bom,1,Nao
104032.98761202244,Bom,1,Nao
167181.39511015694,Ruim,3,Sim
319686.12358691235,Bom,1,Nao
373846.657999541,Bom,2,Nao
317136.82811899704,Ruim,2,Nao
288435.17176117597,Bom,4,Sim
269889.6304410711,Bom,5,Sim
152147.80096325726,Bom,1,Nao
228015.57916052913,Bom,1,Nao
253936.12290402123,Ruim,3,Nao
405712.2226218916,Ruim,2,Nao
334361.82895684615,Ruim,5,Nao
123695.9844637266,Ruim,4,Sim
